Soil Moisture,Percentage,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h)
15.6,0.0,19.71,4.849,26.29,17.641000000000002
49.199999999999996,0.0,19.47,4.797,27.47,9.048
63.599999999999994,0.0,19.32,4.472,27.99,12.688
91.2,0.0,19.18,4.134,28.51,16.341
10.799999999999999,0.0,19.21,5.031000000000001,28.64,16.744000000000003
79.2,0.0,19.24,5.928,28.77,17.147
14.399999999999999,0.0,19.17,6.3180000000000005,29.56,20.124000000000002
34.8,0.0,19.1,6.708,30.36,23.114
44.4,0.0,19.02,5.785,31.01,23.114
9.6,0.0,18.93,4.862,31.66,23.114
66.0,0.0,18.74,4.615,31.96,17.537000000000003
10.799999999999999,0.0,18.55,4.355,32.25,11.959999999999999
49.199999999999996,0.0,18.63,5.265,31.86,13.416
37.199999999999996,0.0,18.71,6.175,31.47,14.859
96.0,0.0,18.87,6.11,30.63,18.733
8.4,0.0,19.03,6.032,29.79,22.607000000000003
15.6,0.0,19.02,5.707,29.64,25.740000000000002
50.4,0.0,19.0,5.382,29.5,28.886
86.39999999999999,0.0,19.04,5.654999999999999,29.16,30.316000000000003
25.2,0.0,19.07,5.941000000000001,28.81,31.759
16.8,0.0,19.11,6.214,28.47,33.189
19.2,0.0,19.11,5.564000000000001,28.2,29.77
13.2,0.0,19.1,4.914,27.92,26.338000000000005
8.4,0.0,19.1,4.264,27.65,22.919
67.2,0.0,19.1,3.614,27.38,19.5
50.4,0.0,18.87,2.613,27.66,15.288
93.6,0.0,18.64,1.625,27.93,11.063
19.2,0.0,18.48,1.833,28.11,12.688
100.0,0.0,18.31,2.0410000000000004,28.29,14.313
26.4,0.0,18.46,2.08,27.32,12.649000000000001
92.39999999999999,0.48874999999999996,18.62,2.1060000000000003,26.36,10.985
54.0,0.48874999999999996,18.72,2.691,25.4,16.562
100.0,0.499375,18.81,3.2760000000000002,24.45,22.126
14.399999999999999,0.48874999999999996,19.04,3.12,23.14,21.606
20.4,0.499375,19.27,2.951,21.83,21.086
14.399999999999999,0.51,19.36,3.614,21.06,23.114
7.199999999999999,0.51,19.45,4.277,20.29,25.155
25.2,0.499375,19.42,3.913,20.58,20.254
85.2,0.499375,19.38,3.549,20.88,15.366000000000001
20.4,0.499375,19.33,3.666,21.33,16.003
80.39999999999999,0.499375,19.28,3.77,21.78,16.64
40.8,0.48874999999999996,19.24,3.874,22.22,17.290000000000003
81.6,0.47812499999999997,19.19,3.991,22.67,17.927
62.4,0.4675,19.26,3.9000000000000004,22.7,19.37
96.0,0.4675,19.32,3.796,22.74,20.8
13.2,0.456875,19.6,4.212000000000001,22.42,21.619
